grain_week,crop_year,week_ending_date,worksheet,metric,period,grain,grade,region,Ktonnes
1,2023-2024,06/08/2023,Imported Grains,Stocks,Current Week,U.S. Canola,,Churchill,0
1,2023-2024,06/08/2023,Imported Grains,Stocks,Current Week,U.S. Canola,,Thunder Bay,0
1,2023-2024,06/08/2023,Imported Grains,Stocks,Current Week,U.S. Canola,,Bay & Lakes,0.289
1,2023-2024,06/08/2023,Imported Grains,Stocks,Current Week,U.S. Canola,,St. Lawrence,0
1,2023-2024,06/08/2023,Imported Grains,Stocks,Current Week,Turkish Flaxseed,,Primary Elevators,0.154
1,2023-2024,06/08/2023,Imported Grains,Stocks,Current Week,Turkish Flaxseed,,Process Elevators,0
1,2023-2024,06/08/2023,Imported Grains,Stocks,Current Week,Turkish Flaxseed,,Vancouver,0
1,2023-2024,06/08/2023,Imported Grains,Stocks,Current Week,Turkish Flaxseed,,Prince Rupert,0
1,2023-2024,06/08/2023,Imported Grains,Stocks,Current Week,Turkish Flaxseed,,Churchill,0
1,2023-2024,06/08/2023,Imported Grains,Stocks,Current Week,Turkish Flaxseed,,Thunder Bay,0
1,2023-2024,06/08/2023,Imported Grains,Stocks,Current Week,Turkish Flaxseed,,Bay & Lakes,0
1,2023-2024,06/08/2023,Imported Grains,Stocks,Current Week,Turkish Flaxseed,,St. Lawrence,0
1,2023-2024,06/08/2023,Imported Grains,Stocks,Current Week,U.S. Sunflower,,Primary Elevators,2.357
1,2023-2024,06/08/2023,Imported Grains,Stocks,Current Week,U.S. Sunflower,,Process Elevators,0
1,2023-2024,06/08/2023,Imported Grains,Stocks,Current Week,U.S. Sunflower,,Vancouver,0
1,2023-2024,06/08/2023,Imported Grains,Stocks,Current Week,U.S. Sunflower,,Prince Rupert,0
1,2023-2024,06/08/2023,Imported Grains,Stocks,Current Week,U.S. Sunflower,,Churchill,0
1,2023-2024,06/08/2023,Imported Grains,Stocks,Current Week,U.S. Sunflower,,Thunder Bay,0
1,2023-2024,06/08/2023,Imported Grains,Stocks,Current Week,U.S. Sunflower,,Bay & Lakes,0
1,2023-2024,06/08/2023,Imported Grains,Stocks,Current Week,U.S. Sunflower,,St. Lawrence,0
1,2023-2024,06/08/2023,Imported Grains,Stocks,Current Week,Canadian and Imported Origin Flax,,Primary Elevators,0.122
1,2023-2024,06/08/2023,Imported Grains,Stocks,Current Week,Canadian and Imported Origin Flax,,Process Elevators,0
1,2023-2024,06/08/2023,Imported Grains,Stocks,Current Week,Canadian and Imported Origin Flax,,Vancouver,0
1,2023-2024,06/08/2023,Imported Grains,Stocks,Current Week,Canadian and Imported Origin Flax,,Prince Rupert,0
1,2023-2024,06/08/2023,Imported Grains,Stocks,Current Week,Canadian and Imported Origin Flax,,Churchill,0
1,2023-2024,06/08/2023,Imported Grains,Stocks,Current Week,Canadian and Imported Origin Flax,,Thunder Bay,0
1,2023-2024,06/08/2023,Imported Grains,Stocks,Current Week,Canadian and Imported Origin Flax,,Bay & Lakes,0
1,2023-2024,06/08/2023,Imported Grains,Stocks,Current Week,Canadian and Imported Origin Flax,,St. Lawrence,0
1,2023-2024,06/08/2023,Imported Grains,Stocks,Current Week,Canadian and Imported Origin Corn,,Primary Elevators,24.49
1,2023-2024,06/08/2023,Imported Grains,Stocks,Current Week,Canadian and Imported Origin Corn,,Process Elevators,0
1,2023-2024,06/08/2023,Imported Grains,Stocks,Current Week,Canadian and Imported Origin Corn,,Vancouver,0
1,2023-2024,06/08/2023,Imported Grains,Stocks,Current Week,Canadian and Imported Origin Corn,,Prince Rupert,0
1,2023-2024,06/08/2023,Imported Grains,Stocks,Current Week,Canadian and Imported Origin Corn,,Churchill,0
1,2023-2024,06/08/2023,Imported Grains,Stocks,Current Week,Canadian and Imported Origin Corn,,Thunder Bay,0
1,2023-2024,06/08/2023,Imported Grains,Stocks,Current Week,Canadian and Imported Origin Corn,,Bay & Lakes,0
1,2023-2024,06/08/2023,Imported Grains,Stocks,Current Week,Canadian and Imported Origin Corn,,St. Lawrence,0
1,2023-2024,06/08/2023,Imported Grains,Stocks,Current Week,Canadian and Imported Origin Beans,,Primary Elevators,0.936
1,2023-2024,06/08/2023,Imported Grains,Stocks,Current Week,Canadian and Imported Origin Beans,,Process Elevators,0
1,2023-2024,06/08/2023,Imported Grains,Stocks,Current Week,Canadian and Imported Origin Beans,,Vancouver,0
1,2023-2024,06/08/2023,Imported Grains,Stocks,Current Week,Canadian and Imported Origin Beans,,Prince Rupert,0
