"REF_DATE","GEO","DGUID","Supply and disposition","Products","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021-05","Canada","2016A000011124","Beginning stocks","Distillers grains, total","Metric tonnes","214","units","0","v1277885596","1.1.9","3604","","","","0"
"2021-05","Canada","2016A000011124","Beginning stocks","Renewable fuel plant co-products except distillers grains","Metric tonnes","214","units","0","v1277885554","1.1.10","2381","","","","0"
"2021-05","Canada","2016A000011124","Receipts","Renewable fuel plant feedstocks, total","Metric tonnes","214","units","0","v1277885550","1.2.1","347552","","","","0"
"2021-05","Canada","2016A000011124","Receipts","Cereal grains, total","Metric tonnes","214","units","0","v1277885561","1.2.2","320085","","","","0"
"2021-05","Canada","2016A000011124","Receipts","Vegetable oils, total","Metric tonnes","214","units","0","v1277885566","1.2.3","20756","","","","0"
"2021-05","Canada","2016A000011124","Receipts","Other renewable fuel plant feedstocks, total","Metric tonnes","214","units","0","v1277885571","1.2.4","6711","","","","0"
"2021-05","Canada","2016A000011124","Receipts","Renewable fuel plant co-products, total","Metric tonnes","214","units","0","v1277885591","1.2.8","","..","","","0"
"2021-05","Canada","2016A000011124","Receipts","Distillers grains, total","Metric tonnes","214","units","0","v1277885597","1.2.9","","..","","","0"
"2021-05","Canada","2016A000011124","Receipts","Renewable fuel plant co-products except distillers grains","Metric tonnes","214","units","0","v1277885555","1.2.10","","..","","","0"
"2021-05","Canada","2016A000011124","Inputs","Renewable fuel plant feedstocks, total","Metric tonnes","214","units","0","v1277885551","1.3.1","370790","","","","0"
"2021-05","Canada","2016A000011124","Inputs","Cereal grains, total","Metric tonnes","214","units","0","v1277885562","1.3.2","342690","","","","0"
"2021-05","Canada","2016A000011124","Inputs","Vegetable oils, total","Metric tonnes","214","units","0","v1277885567","1.3.3","20622","","","","0"
"2021-05","Canada","2016A000011124","Inputs","Other renewable fuel plant feedstocks, total","Metric tonnes","214","units","0","v1277885572","1.3.4","7478","","","","0"
"2021-05","Canada","2016A000011124","Production","Renewable fuels, total","Cubic metres","72","units","0","v1277885576","1.4.5","172229","","","","0"
"2021-05","Canada","2016A000011124","Production","Fuel ethanol","Cubic metres","72","units","0","v1277885581","1.4.6","143350","","","","0"
"2021-05","Canada","2016A000011124","Production","Renewable fuels except fuel ethanol","Cubic metres","72","units","0","v1277885586","1.4.7","28879","","","","0"
"2021-05","Canada","2016A000011124","Production","Renewable fuel plant co-products, total","Metric tonnes","214","units","0","v1277885592","1.4.8","119021","","","","0"
"2021-05","Canada","2016A000011124","Production","Distillers grains, total","Metric tonnes","214","units","0","v1277885598","1.4.9","109562","","","","0"
"2021-05","Canada","2016A000011124","Production","Renewable fuel plant co-products except distillers grains","Metric tonnes","214","units","0","v1277885556","1.4.10","9459","","","","0"
"2021-05","Canada","2016A000011124","Shipments","Renewable fuels, total","Cubic metres","72","units","0","v1277885577","1.5.5","170759","","","","0"
"2021-05","Canada","2016A000011124","Shipments","Fuel ethanol","Cubic metres","72","units","0","v1277885582","1.5.6","137174","","","","0"
"2021-05","Canada","2016A000011124","Shipments","Renewable fuels except fuel ethanol","Cubic metres","72","units","0","v1277885587","1.5.7","33585","","","","0"
"2021-05","Canada","2016A000011124","Shipments","Renewable fuel plant co-products, total","Metric tonnes","214","units","0","v1277885593","1.5.8","113359","","","","0"
"2021-05","Canada","2016A000011124","Shipments","Distillers grains, total","Metric tonnes","214","units","0","v1277885599","1.5.9","102372","","","","0"
"2021-05","Canada","2016A000011124","Shipments","Renewable fuel plant co-products except distillers grains","Metric tonnes","214","units","0","v1277885557","1.5.10","10987","","","","0"
"2021-05","Canada","2016A000011124","Losses and adjustments","Renewable fuel plant feedstocks, total","Metric tonnes","214","units","0","v1277885552","1.6.1","-68","","","","0"
"2021-05","Canada","2016A000011124","Losses and adjustments","Cereal grains, total","Metric tonnes","214","units","0","v1277885563","1.6.2","-2","","","","0"
